name,started,status_2026,owner_2026,source
RadioShack,"1921, in the United States",Website plus 170 plus US dealers; no company-owned US stores,"Unicomer Group, El Salvador, since May 2023",https://404memoryfound.com/posts/what-happened-to-radioshack-electronics.html
RealPlayer,"April 1995, as RealAudio 1.0 from Progressive Networks",Still published; RealPlayer 25 for Windows shipped in 2026,"RealNetworks LLC, private and controlled by Rob Glaser since December 2022",https://404memoryfound.com/posts/what-happened-to-realplayer-streaming.html
Redbox,2002 inside McDonald's Ventures; DVD kiosks from 2004,"Shut down. Parent liquidated in Chapter 7 on July 10, 2024","No operator. Trademarks auctioned by the bankruptcy trustee on April 23, 2025",https://404memoryfound.com/posts/is-redbox-still-around-kiosks.html
RollerCoaster Tycoon,"March 22, 1999 in North America, Hasbro Interactive under the MicroProse label","Active. RollerCoaster Tycoon Wonderworks in Steam early access, winter 2026",Chris Sawyer holds the trademark; Atari publishes under licence,https://404memoryfound.com/posts/what-happened-to-rollercoaster-tycoon.html
RuneScape,,"Both games live, with Old School roughly eight times larger than RuneScape 3","CVC Capital Partners and Haveli Investments, since February 2024",https://404memoryfound.com/posts/is-runescape-still-popular-2026.html
Sears,,Open. Not in bankruptcy since the February 2019 sale,"Transform Holdco LLC, trading as Transformco, controlled by Eddie Lampert's ESL Investments",https://404memoryfound.com/posts/who-owns-sears-now-stores-left.html
Second Life,"June 23, 2003, by Linden Lab","Still running in 2026; daily concurrency in the mid-30,000s","Linden Research, Inc., bought by an investor group led by Randy Waterfield and Brad Oberwager",https://404memoryfound.com/posts/what-happened-to-second-life-virtual-world.html
Sega,,"Still publishing games, no home console since the Dreamcast","Sega Sammy Holdings, formed October 2004",https://404memoryfound.com/posts/is-sega-still-making-games.html
Sega 32X,"November 21, 1994 in North America, $159.99","Discontinued in 1996, last units cleared at $19.95",,https://404memoryfound.com/posts/what-happened-to-sega-32x-add-on.html
Sega CD,"October 15, 1992 in North America, $299","Discontinued in 1996, never revived","Sega, the entertainment division of Sega Sammy Holdings",https://404memoryfound.com/posts/what-happened-to-sega-cd-add-on.html
Sega Channel,"December 12, 1994, by Sega of America with TCI and Time Warner","Dead since 1998, but 144 recovered ROMs were published free by Gaming Alexandria on December 15, 2025",,https://404memoryfound.com/posts/what-happened-to-sega-channel.html
Sega Game Gear,"October 6, 1990 in Japan; April 1991 in the US at $149.99","Discontinued April 30, 1997; no Sega handheld since","Sega, inside Sega Sammy Holdings since the 2004 merger",https://404memoryfound.com/posts/what-happened-to-sega-game-gear-handheld.html
Sega Genesis,"August 14, 1989 in North America, by Sega, with Altered Beast packed in",No new Sega Genesis hardware from Sega since the Genesis Mini 2 in 2022; everything official is a used purchase,,https://404memoryfound.com/posts/sega-genesis-games-how-to-play-2026.html
Sega Nomad,"October 1995, Sega of America, North America only",Discontinued since 1999; working units sell in the hundreds of dollars,,https://404memoryfound.com/posts/sega-nomad-handheld-genesis.html
Sega Saturn,"November 22, 1994 in Japan; May 11, 1995 in North America","Discontinued; dropped in the US in 1998, sold in Japan until 2000",,https://404memoryfound.com/posts/what-happened-to-sega-saturn-console.html
Segway,,"Brand active; Personal Transporter production ended July 15, 2020","Segway-Ninebot of Beijing, listed in Shanghai as 689009",https://404memoryfound.com/posts/what-happened-to-segway-personal-transporter.html
Sharper Image,,"A licensed brand selling through sharperimage.com, a catalog and other retailers","ThreeSixty Group, which paid $100 million in December 2016",https://404memoryfound.com/posts/who-owns-sharper-image-now.html
SimCity,"1989, by Maxis, founded by Will Wright and Jeff Braun in 1987","Franchise dormant on PC, alive on mobile through SimCity BuildIt","Electronic Arts, taken private in August 2026 by a consortium led by Saudi Arabia's Public Investment Fund",https://404memoryfound.com/posts/what-happened-to-simcity-ea.html
Sims 1,"February 4, 2000, by Maxis and Electronic Arts","Sold as The Sims: Legacy Collection since January 31, 2025","Electronic Arts, private since August 4, 2026 under a PIF-led consortium",https://404memoryfound.com/posts/original-sims-best-selling-pc-game.html
SkyMall,"1990, on Eastern Airlines, from Phoenix, Arizona",Online store at skymall.com; no standalone seat-pocket catalog,"C&A Marketing, since April 2015",https://404memoryfound.com/posts/skymall-still-around-who-owns-it.html
Sony Discman,"November 1984, Sony D-50, 49,800 yen (about $350)",Discontinued; Sony ended portable CD players around 2010,Sony Group Corporation still holds the Discman trademark,https://404memoryfound.com/posts/what-happened-to-sony-discman-portable-cd-player.html
Sound Blaster,"1981 in Singapore, by Sim Wong Hoo and Ng Kai Wa",Still trading; listed on the Singapore Exchange as C76,Independent public company; CEO Sim Li Ern since January 2026,https://404memoryfound.com/posts/what-happened-to-creative-labs-sound-blaster.html
Standalone GPS Devices,"TomTom Go, March 2004, the first all-in-one car navigator",Still sold. Garmin Drive 53 at $149.99; TomTom exited US device sales,Magellan brand held by MiTAC International since 2008,https://404memoryfound.com/posts/what-happened-to-standalone-gps-tomtom-garmin-magellan.html
StarCraft,"March 31, 1998, by Blizzard Entertainment",Still played; ASL Season 21 ran March to May 2026,"Microsoft, since the Activision Blizzard deal closed October 13, 2023",https://404memoryfound.com/posts/what-happened-to-starcraft-birth-of-esports.html
Tamagotchi,"November 23, 1996, by Bandai in Japan","Still in production, with a 30th anniversary line in 2026","Bandai, part of Bandai Namco Holdings since 2005",https://404memoryfound.com/posts/tamagotchi-digital-pet-that-made-us-feel.html
theGlobe.com,"May 1, 1995, by Cornell students Stephan Paternot and Todd Krizelman","Shell company, ticker TGLO, no employees, $15,115 in cash (June 2026)",,https://404memoryfound.com/posts/what-happened-to-theglobe-com-dot-com-ipo.html
TiVo,"March 31, 1999, built by Philips Electronics: $499 for 14 hours, $999 for 30 hours","DVR hardware discontinued October 1, 2025; TiVo OS ships on smart TVs","Xperi Inc., through TiVo Platform Technologies LLC",https://404memoryfound.com/posts/what-happened-to-tivo-dvr-pioneer.html
Toonami,"March 17, 1997, on Cartoon Network","On the air, Saturdays 12:00 a.m. to 4:00 a.m. ET on Adult Swim","Warner Bros. Discovery, pending sale to Paramount Skydance",https://404memoryfound.com/posts/is-toonami-still-on-tv.html
Tower Records,"1960 in Sacramento, California, by Russ Solomon","No US stores. Online only since November 13, 2020",US brand run by chief executive Danny Zeijdel. Tower Records Japan is a separate company,https://404memoryfound.com/posts/tower-records-still-around.html
Toys R Us,,Brand active; the original US retailer is gone,"WHP Global, controlling stake since March 15, 2021",https://404memoryfound.com/posts/is-toys-r-us-still-in-business.html
Tumblr,"2007, by David Karp","Online and free, about half a billion blogs, still unprofitable","Automattic, the company behind WordPress.com",https://404memoryfound.com/posts/what-happened-to-tumblr-yahoo-billion-dollar-mistake.html
TurboGrafx-16 Won Japan,"October 30, 1987 in Japan as the PC Engine; August 1989 in the United States",Discontinued in North America in May 1994. Konami's 99.99 dollar TurboGrafx-16 Mini from 2020 is the only official hardware; original consoles sell for about 207 dollars loose,"Konami, which merged Hudson Soft into its games arm in March 2012",https://404memoryfound.com/posts/what-happened-to-turbografx-16-nec-forgotten-console.html
Virtual Boy,"July 21, 1995 in Japan; August 14, 1995 in North America at $179.95","Discontinued in 1996; back on Nintendo Switch since February 17, 2026",,https://404memoryfound.com/posts/what-happened-to-virtual-boy-nintendo.html
WebTV,"September 18, 1996, by WebTV Networks","Service shut down September 30, 2013; boxes run only on fan-built servers","Microsoft, which bought WebTV Networks for about $425 million in 1997",https://404memoryfound.com/posts/what-happened-to-webtv-internet-television.html
Webvan,"June 1999, San Francisco Bay Area","Closed. Shut down July 9, 2001 and liquidated in Chapter 11",Amazon holds the Webvan name and the webvan.com address,https://404memoryfound.com/posts/what-happened-to-webvan-grocery-delivery.html
Winamp,"1997, by Justin Frankel and Dmitry Boldyrev at Nullsoft",Active. Winamp 5.9.2 (April 2023) is still a free download,"Winamp Group, Belgium, bought from AOL in January 2014",https://404memoryfound.com/posts/what-happened-to-winamp-mp3-player.html
Windows 95 Launch,"August 24, 1995, by Microsoft","Unsupported since December 31, 2001; runs only in emulators","Microsoft, which still owns the code",https://404memoryfound.com/posts/the-night-windows-95-launched.html
Windows Movie Maker,"September 14, 2000, with Windows Me","Discontinued January 10, 2017; replaced by Clipchamp, free on Windows 11",Microsoft,https://404memoryfound.com/posts/windows-movie-maker-still-available.html
WordPerfect,"1979, by Alan Ashton and Bruce Bastian in Orem, Utah",Still sold; WordPerfect Office 2021 remains the latest version,"Corel Corporation, backed by Vector Capital since May 2026",https://404memoryfound.com/posts/what-happened-to-wordperfect-word-processor.html
Xanga,"1999, by Marc Ginsburg, John Hiler and Dan Huddle in New York","Online as Xanga 2.0, closed to new members since 2013",,https://404memoryfound.com/posts/what-happened-to-xanga-blogging-platform.html
Y2K,,"Fixed, though windowing patches and the 2038 Unix rollover are still out there",,https://404memoryfound.com/posts/y2k-bug-what-actually-happened.html
Yahoo,,"Private and still operating in 2026: Yahoo Finance, Yahoo Mail, Yahoo Sports, Yahoo News and Yahoo Search",Funds managed by affiliates of Apollo Global Management; Verizon kept a 10 percent stake,https://404memoryfound.com/posts/who-owns-yahoo-now.html
Yahoo Answers,"December 8, 2005, as a public beta by Yahoo",Closed. answers.yahoo.com redirects to Yahoo's home page,"Apollo Global Management, which closed its $5 billion purchase of Yahoo on September 1, 2021",https://404memoryfound.com/posts/does-yahoo-answers-still-exist.html
Yahoo Messenger,"March 9, 1998, by Yahoo, as Yahoo Pager",Discontinued; owner today is Apollo Global Management,,https://404memoryfound.com/posts/does-yahoo-messenger-still-exist.html
You've Got Mail,,Still AOL Mail's alert; no replacement voice announced,,https://404memoryfound.com/posts/aol-youve-got-mail-voice-elwood-edwards.html
